ENSG00000042832.11	Thyroid
ENSG00000091704.9	Pancreas
ENSG00000118245.2	Testis
ENSG00000122304.10	Testis
ENSG00000122852.14	Lung
ENSG00000132693.12	Liver
ENSG00000134812.7	Stomach
ENSG00000135346.8	Pituitary
ENSG00000137392.9	Pancreas
ENSG00000142515.14	Prostate
ENSG00000142615.7	Pancreas
ENSG00000142789.19	Pancreas
ENSG00000158874.11	Liver
ENSG00000162438.11	Pancreas
ENSG00000164816.7	Small Intestine - Terminal Ileum
ENSG00000164822.4	Small Intestine - Terminal Ileum
ENSG00000168925.10	Pancreas
ENSG00000168928.12	Pancreas
ENSG00000170890.13	Pancreas
ENSG00000171195.10	Minor Salivary Gland
ENSG00000172179.11	Pituitary
ENSG00000175535.6	Pancreas
ENSG00000175646.3	Testis
ENSG00000182333.14	Stomach
ENSG00000187021.14	Pancreas
ENSG00000203784.2	Testis
ENSG00000204983.13	Pancreas
ENSG00000219073.7	Pancreas
ENSG00000229859.9	Stomach
ENSG00000240338.5	Pancreas
ENSG00000254647.6	Pancreas
ENSG00000256713.7	Stomach
ENSG00000259384.6	Pituitary
