Proband_id,Father_age,Mother_age
675,31,36
1097,19,19
1230,30,28
1481,32,20
1806,38,34
2280,38,20
3190,35,25
3212,23,19
3450,25,22
3578,23,20
3723,32,30
4131,26,23
5116,31,21
5410,27,18
5494,27,25
5512,30,22
6160,32,23
6865,22,18
7017,46,28
8147,40,33
8185,37,31
9165,34,32
9737,36,35
9975,27,28
10676,22,22
11120,32,32
12646,31,28
13191,44,37
13542,28,30
13841,19,18
13990,16,17
14522,26,23
14991,21,21
15247,36,36
15660,51,43
15690,26,21
15789,20,21
16872,26,22
17885,27,22
17904,34,35
18230,34,26
18689,30,23
19715,27,25
20240,47,42
20287,23,22
20532,27,29
20544,26,27
21286,34,33
21720,22,17
21762,32,24
22442,35,26
22818,43,39
22968,22,19
22996,18,20
23060,21,19
23077,25,22
23731,29,39
23930,40,30
24034,37,41
24108,30,30
24464,30,26
24771,29,21
25400,28,19
26268,35,29
26568,34,29
26618,38,38
26864,34,30
27281,25,23
27915,25,25
28795,26,26
29195,41,37
29374,39,36
29485,24,23
29678,21,21
29874,40,33
30366,35,30
30371,32,30
30554,39,33
31830,25,22
31985,23,19
32514,40,31
33711,33,26
33816,35,35
34136,47,40
34291,42,40
34318,35,32
34697,23,22
34744,23,23
35417,22,21
35452,26,22
35505,49,37
35677,36,28
36080,33,33
36195,32,29
36430,35,26
36485,32,19
36736,22,21
37122,36,32
37653,30,23
37654,25,30
37789,19,19
39503,36,30
39729,25,18
40768,45,38
40908,29,22
40959,35,30
44178,30,23
44982,34,26
45739,27,27
45976,29,27
46025,21,23
46411,27,29
46877,25,21
47320,33,31
47492,30,29
48073,31,21
48340,28,26
49333,24,21
49640,24,20
50034,30,30
50375,23,22
50382,26,28
51962,26,21
52549,30,24
52666,19,19
53186,48,32
54383,39,32
54593,40,37
54944,25,21
55279,23,24
55462,45,35
55513,36,33
56354,32,25
57204,30,33
57278,46,44
57717,32,33
57832,34,35
58242,31,36
59148,23,21
59380,28,24
59382,23,30
59395,22,20
59446,28,26
59721,18,18
60473,36,34
60643,36,28
61600,35,33
61747,20,29
62121,51,42
62377,29,30
62630,23,20
62905,27,27
63768,41,38
64166,41,40
64325,32,34
64417,24,22
64744,27,27
65142,35,33
65385,33,20
66084,31,28
66987,40,33
67028,23,25
67245,25,23
70264,24,19
70509,33,33
70975,32,26
71609,30,20
71735,36,28
71851,34,32
72365,30,21
72669,34,27
74320,44,41
74349,33,27
76145,27,26
76323,44,38
76504,19,17
77835,37,27
78192,33,28
78500,30,21
78675,22,17
79155,30,23
79709,43,33
79866,32,29
80108,22,24
80405,31,31
80577,27,22
80905,46,44
81371,32,28
82362,28,30
83148,41,38
83165,37,32
83256,19,18
83335,44,34
83353,26,24
83632,25,24
83989,26,26
84228,34,33
84490,23,21
84737,39,36
84749,29,30
85117,41,35
85432,33,29
86349,34,32
86822,25,27
86863,22,26
86868,27,29
87089,40,38
87422,34,28
88246,56,46
89833,51,39
90450,40,30
91198,28,24
91258,29,31
91410,51,34
91585,24,23
91606,20,19
91671,28,28
92192,38,39
92501,27,26
92812,54,43
93058,29,26
93086,28,20
93229,22,19
93758,25,22
94024,25,21
94281,30,27
94946,22,20
96106,26,28
96471,27,25
96520,26,26
96717,31,26
97566,33,25
97789,26,25
98228,46,36
98306,24,22
98572,41,38
98860,30,29
99197,20,18
99379,24,21
99383,21,18
99703,23,16
99731,30,28
99776,39,36
99872,38,33
99984,51,41
100770,41,33
101199,29,30
101332,37,33
102060,25,22
102313,30,35
102727,39,32
103818,20,22
104333,37,34
104502,29,22
104596,22,20
104665,24,22
105754,36,33
105768,32,22
105780,38,30
106024,25,21
106140,21,22
106703,23,23
107187,35,33
107328,55,31
108593,21,18
108663,27,24
109047,26,22
109291,25,25
109382,22,21
109551,30,22
109597,50,45
110516,26,28
110669,27,22
110795,38,26
110977,48,36
111214,29,26
111288,53,44
111528,24,22
111782,21,21
112236,41,34
112510,30,28
112917,42,41
113149,22,21
113248,21,26
113829,25,23
114042,26,24
114094,51,44
114111,35,27
114170,37,28
114364,33,28
114509,32,28
114950,21,23
115094,20,18
115299,38,34
116078,31,31
116498,27,23
116651,32,30
116676,31,27
117135,36,24
117154,38,31
117473,34,31
117628,26,24
119265,24,23
119476,22,21
119700,30,29
119719,38,34
119874,21,21
120117,26,23
120192,27,21
120516,36,40
120711,27,24
121087,18,17
121115,31,22
121496,24,24
121649,24,23
121650,21,19
122411,32,30
122976,29,27
123466,27,21
123888,36,27
124112,23,28
124437,20,19
124800,41,31
124887,37,35
125046,22,20
126045,52,40
127416,30,20
127678,25,23
128158,21,19
128636,27,21
129752,20,19
129865,30,25
130319,23,20
130437,27,27
130461,20,23
130614,27,20
130728,36,28
130739,24,18
130799,33,23
130811,21,28
131854,31,19
132315,23,22
132388,23,20
132716,23,22
133117,27,22
133493,26,27
134433,29,31
134503,26,26
134690,35,35
134903,35,29
135450,28,23
135652,37,23
136092,32,29
136238,30,26
136354,24,22
137081,30,25
137443,52,37
137878,29,22
138408,37,26
139342,24,23
139512,37,32
139667,36,33
141153,30,28
141173,29,23
141237,34,36
141345,38,31
141468,35,28
141502,21,22
141749,24,19
141757,27,26
142033,53,43
142096,27,25
142888,36,26
142988,30,35
143069,26,31
143074,40,24
143440,21,23
144769,22,19
145908,30,30
145973,23,19
146353,36,36
146476,36,32
148052,28,26
148163,26,30
148486,34,27
148940,23,24
149434,40,24
150946,43,33
151566,29,29
151909,21,17
153094,54,41
153657,27,23
154565,36,30
154621,19,18
154810,32,28
154936,30,34
